county_fips,county_name,state,county_lat,county_lon,nearest_hospital_miles,nearest_hospital_minutes_est
01001,Autauga County,AL,32.532237,-86.64644,12.261833962700944,21.020286793201617
01003,Baldwin County,AL,30.659218,-87.746067,12.913144330625725,22.136818852501243
01005,Barbour County,AL,31.870253,-85.405103,14.646675406094671,25.108586410448005
01007,Bibb County,AL,33.015893,-87.127148,4.624545000808298,7.9277914299570815
01009,Blount County,AL,33.977358,-86.56644,20.66272978440575,35.42182248755272
01011,Bullock County,AL,32.101759,-85.717261,3.1006787741292707,5.31544932707875
01013,Butler County,AL,31.751667,-86.681969,5.7399912429769975,9.839984987960568
01015,Calhoun County,AL,33.770516,-85.827909,3.8279868057128006,6.562263095507658
01017,Chambers County,AL,32.915504,-85.394032,14.506537702317269,24.868350346829605
01019,Cherokee County,AL,34.069515,-85.654242,6.355237285541203,10.894692489499205
01021,Chilton County,AL,32.854051,-86.726607,6.291660468849734,10.78570366088526
01023,Choctaw County,AL,31.990954,-88.248889,31.5132563716102,54.02272520847463
01025,Clarke County,AL,31.685521,-87.818624,2.5769398069004024,4.417611097543547
01027,Clay County,AL,33.2704,-85.863525,2.3372116351204526,4.006648517349348
01029,Cleburne County,AL,33.671964,-85.516126,16.219495880662475,27.804850081135672
01031,Coffee County,AL,31.402258,-85.989602,9.79765470567594,16.79597949544447
01033,Colbert County,AL,34.703112,-87.801457,6.46412908285096,11.081364142030216
01035,Conecuh County,AL,31.430926,-86.988722,2.843925831418556,4.875301425288953
01037,Coosa County,AL,32.931445,-86.243482,15.885152973777597,27.231690812190166
01039,Covington County,AL,31.243987,-86.448721,4.487589235236347,7.693010117548023
01041,Crenshaw County,AL,31.730311,-86.320038,4.111126065033993,7.047644682915417
01043,Cullman County,AL,34.131923,-86.869267,6.015767761890135,10.312744734668804
01045,Dale County,AL,31.430654,-85.609476,1.9663617018174262,3.3709057745441595
01047,Dallas County,AL,32.333526,-87.11436,7.452997313522291,12.77656682318107
01049,DeKalb County,AL,34.460915,-85.804021,3.042745342763526,5.216134873308902
01051,Elmore County,AL,32.597229,-86.142735,4.014150800711968,6.881401372649088
01053,Escambia County,AL,31.122287,-87.16841,5.623260874842902,9.639875785444975
01055,Etowah County,AL,34.047641,-86.034263,3.4748939698212435,5.956961091122132
01057,Fayette County,AL,33.716157,-87.764292,3.514784306207145,6.025344524926535
01059,Franklin County,AL,34.441989,-87.842814,8.534850308415406,14.631171957283552
01061,Geneva County,AL,31.092382,-85.821022,5.1944485907174185,8.90476901265843
01063,Greene County,AL,32.844497,-87.9642,4.280035030386979,7.337202909234821
