GEOID,total_pop,low_access_pop,grocery_burden_pct,commute_min,hospital_min,commute_z,grocery_z,hospital_z,CTBI,CTBI_raw,hospital_min_capped,commute_z2,grocery_z2,hospital_z2,CTBI_capped,CTBI_capped_pct_rank
01001,54571,18503.0,33.90628722215096,28.537064725555773,21.020286793201617,0.4566769488043107,0.5117939150166675,-0.1860841729247299,0.7823866908962482,0.7823866908962482,21.020286793201617,0.45667694880431076,0.5117939150166675,-0.26497324794742017,0.7034976158735581,0.7503989786147462
01003,182265,45789.0,25.122212163607937,28.481699245805757,22.136818852501243,0.4473351489211305,0.0400326148952924,-0.1666731206122097,0.3206946432042132,0.3206946432042132,22.136818852501243,0.4473351489211306,0.04003261489529265,-0.23065701743102637,0.2567107463853968,0.6527290137248644
01005,27457,5636.0,20.526641657865024,27.480786080861183,25.108586410448005,0.2784513872419944,-0.206779064438003,-0.115008562440777,-0.0433362396367856,-0.0433362396367856,25.108586410448005,0.2784513872419945,-0.20677906443800306,-0.1393207591388899,-0.06764843633489848,0.5652729013724864
01007,22915,365.0,1.5928431158629717,33.822102762845354,7.9277914299570815,1.348419744898124,-1.2236457643330554,-0.4136988753245728,-0.288924894759504,-0.288924894759504,7.9277914299570815,1.3484197448981243,-1.2236457643330554,-0.6673666097661054,-0.5425926292010365,0.4149377593360996
01009,57322,3902.0,6.807159554795715,38.21231648314981,35.42182248755272,2.089179117067466,-0.9436034507051954,0.0642883626556911,1.209864029017962,1.209864029017962,35.42182248755272,2.0891791170674665,-0.9436034507051954,0.17765302020239854,1.3232286865646696,0.8487073092882221
01011,10914,7480.0,68.53582554517133,29.680760499432463,5.31544932707875,0.6496523749188446,2.371622743093736,-0.4591147760994941,2.5621603419130863,2.5621603419130863,5.31544932707875,0.6496523749188448,2.3716227430937358,-0.7476560497722315,2.2736190682403485,0.917969996808171
01013,20947,2508.0,11.973074903327444,26.749037227214377,9.839984987960568,0.1549836346571719,-0.6661605867840709,-0.3804551463363045,-0.8916320984632035,-0.8916320984632035,9.839984987960568,0.154983634657172,-0.666160586784071,-0.608595995539791,-1.11977294766669,0.23204596233641878
01015,118572,42576.0,35.907296832304425,26.304954294584338,6.562263095507658,0.0800536619215087,0.619260994811628,-0.4374387596507363,0.2618758970824004,0.2618758970824004,6.562263095507658,0.08005366192150876,0.619260994811628,-0.709335655537194,-0.010020998804057268,0.5789977657197575
01017,34215,6746.0,19.71649861172001,25.48142573966669,24.868350346829605,-0.0589000506239516,-0.2502889541175043,-0.119185097059206,-0.4283741018006619,-0.4283741018006619,24.868350346829605,-0.058900050623951636,-0.25028895411750407,-0.1467043322918644,-0.45589333703332013,0.44142993935525054
01019,25989,3506.0,13.490322828889145,31.790610952186352,10.894692489499205,1.0056467743543207,-0.5846746193715645,-0.3621189218488355,0.0588532331339206,0.0588532331339206,10.894692489499205,1.005646774354321,-0.5846746193715645,-0.5761799216360349,-0.1552077666532785,0.5346313437599745
01021,43643,4446.0,10.187200696560732,34.042526436124604,10.78570366088526,1.3856117615588242,-0.762073512393479,-0.3640137065404928,0.2595245426248523,0.2595245426248523,10.78570366088526,1.3856117615588244,-0.762073512393479,-0.5795296559632104,0.044008593202135016,0.5936801787424194
01023,13859,3373.0,24.33797532289487,37.73036409434394,54.02272520847463,2.0078594429713736,-0.0020859450113712,0.3876674298025864,2.393440927762589,2.393440927762589,54.02272520847463,2.0078594429713736,-0.002085945011371218,0.7493453959543059,2.7551188939143083,0.943823811043728
01025,25833,10185.0,39.42631517826036,26.64215622137904,4.417611097543547,0.1369496363547108,0.8082549024199838,-0.4747238082777734,0.4704807304969211,0.4704807304969211,4.417611097543547,0.13694963635471089,0.8082549024199838,-0.775250800316598,0.1699537384580967,0.6297478455154804
01027,13932,978.0,7.019810508182601,27.9712257816996,4.006648517349348,0.3612031228123506,-0.93218272745622,-0.4818684451703691,-1.0528480498142383,-1.0528480498142383,4.006648517349348,0.3612031228123513,-0.9321827274562199,-0.7878815944958554,-1.358861199139724,0.16150654324928185
01029,14972,891.0,5.951108736307774,37.35720478585053,27.804850081135672,1.944896390899376,-0.9895788828831192,-0.0681336745016917,0.8871838335145651,0.8871838335145651,27.804850081135672,1.9448963908993764,-0.9895788828831193,-0.0564520184828131,0.8988654895334439,0.7887009256303862
01031,49948,16060.0,32.15343957716025,24.49076290708704,16.79597949544447,-0.226054276965878,0.4176547280898352,-0.2595242942879807,-0.0679238431640235,-0.0679238431640235,16.79597949544447,-0.22605427696587863,0.4176547280898352,-0.3948058862443,-0.20320543512034342,0.5196297478455155
01033,54428,17904.0,32.89483354155949,24.3658838330887,11.081364142030216,-0.2471250836157388,0.4574723501178898,-0.3588736113516009,-0.14852634484945,-0.14852634484945,11.081364142030216,-0.2471250836157389,0.4574723501178898,-0.5704426323161487,-0.3600953658139978,0.4711139482923715
01035,13228,3487.0,26.360749924402786,30.06840756167895,4.875301425288953,0.7150599410983525,0.1065500547381742,-0.4667668035318699,0.3548431923046568,0.3548431923046568,4.875301425288953,0.7150599410983526,0.10655005473817449,-0.7611838448170063,0.06042615101952076,0.5991062879029684
01037,11539,2607.0,22.592945662535747,33.27421652421653,27.23169081219017,1.255975073179781,-0.0958052559046376,-0.0780981215233794,1.082071695751764,1.082071695751764,27.23169081219017,1.2559750731797812,-0.09580525590463766,-0.07406787235097637,1.0861019449241671,0.8139163740823492
