GEOID,total_pop,low_access_pop,grocery_burden_pct,commute_min,hospital_min,commute_z,grocery_z,hospital_z,CTBI
01001,54571,18503.0,33.90628722215096,28.537064725555773,21.020286793201617,0.4566769488043107,0.5117939150166675,-0.18608417292472995,0.7823866908962482
01003,182265,45789.0,25.122212163607934,28.481699245805757,22.136818852501243,0.4473351489211305,0.04003261489529246,-0.1666731206122097,0.32069464320421326
01005,27457,5636.0,20.526641657865024,27.480786080861183,25.108586410448005,0.2784513872419944,-0.20677906443800306,-0.11500856244077702,-0.043336239636785664
01007,22915,365.0,1.5928431158629717,33.822102762845354,7.9277914299570815,1.348419744898124,-1.2236457643330554,-0.4136988753245728,-0.28892489475950406
01009,57322,3902.0,6.807159554795715,38.21231648314981,35.42182248755272,2.089179117067466,-0.9436034507051954,0.06428836265569111,1.2098640290179619
01011,10914,7480.0,68.53582554517133,29.680760499432463,5.31544932707875,0.6496523749188446,2.3716227430937358,-0.45911477609949414,2.5621603419130863
01013,20947,2508.0,11.973074903327445,26.749037227214377,9.839984987960568,0.15498363465717196,-0.6661605867840709,-0.3804551463363045,-0.8916320984632035
01015,118572,42576.0,35.907296832304425,26.304954294584338,6.562263095507658,0.08005366192150874,0.619260994811628,-0.43743875965073636,0.2618758970824004
01017,34215,6746.0,19.716498611720006,25.48142573966669,24.868350346829605,-0.05890005062395163,-0.2502889541175043,-0.11918509705920602,-0.42837410180066193
01019,25989,3506.0,13.490322828889145,31.790610952186352,10.894692489499205,1.0056467743543207,-0.5846746193715645,-0.36211892184883554,0.05885323313392066
01021,43643,4446.0,10.187200696560732,34.042526436124604,10.78570366088526,1.3856117615588242,-0.762073512393479,-0.36401370654049287,0.2595245426248523
01023,13859,3373.0,24.33797532289487,37.73036409434394,54.02272520847463,2.0078594429713736,-0.002085945011371218,0.3876674298025864,2.393440927762589
01025,25833,10185.0,39.42631517826036,26.64215622137904,4.417611097543547,0.13694963635471086,0.8082549024199838,-0.47472380827777344,0.47048073049692113
01027,13932,978.0,7.019810508182601,27.971225781699598,4.006648517349348,0.3612031228123506,-0.9321827274562199,-0.4818684451703691,-1.0528480498142385
01029,14972,891.0,5.951108736307774,37.35720478585053,27.804850081135672,1.9448963908993762,-0.9895788828831193,-0.06813367450169174,0.8871838335145651
01031,49948,16060.0,32.15343957716025,24.490762907087042,16.79597949544447,-0.226054276965878,0.4176547280898352,-0.25952429428798074,-0.0679238431640235
01033,54428,17904.0,32.89483354155949,24.3658838330887,11.081364142030216,-0.24712508361573887,0.4574723501178898,-0.3588736113516009,-0.14852634484945
01035,13228,3487.0,26.360749924402782,30.06840756167895,4.875301425288953,0.7150599410983525,0.10655005473817429,-0.4667668035318699,0.35484319230465683
01037,11539,2607.0,22.592945662535747,33.27421652421653,27.23169081219017,1.255975073179781,-0.09580525590463766,-0.07809812152337944,1.082071695751764
01039,37765,4878.0,12.916721832384484,26.086377030082918,7.693010117548023,0.043173189229774894,-0.6154806803465078,-0.4177805783972397,-0.9900880695139727
01041,13906,4101.0,29.490867251546092,31.973894348894348,7.047644682915417,1.0365721238985939,0.2746574775395568,-0.4290003388223939,0.8822292626157568
01043,80406,6772.0,8.422257045494117,29.531297931982863,10.312744734668804,0.6244336031960172,-0.8568623326072099,-0.37223615781898084,-0.6046648872301736
01045,50251,11622.0,23.127897952279554,24.24147212450698,3.3709057745441595,-0.26811703184670505,-0.06707487894058835,-0.4929209138703162,-0.8281128246576096
01047,43820,6672.0,15.2259242355089,28.125337134931033,12.77656682318107,0.3872062826894896,-0.4914616663147594,-0.32940229644391733,-0.43365768006918715
01049,71109,0.0,0.0,26.251535859736315,5.216134873308902,0.07104038630868816,-1.3091916794374667,-0.460841370550105,-1.6989926636788835
01051,79303,15066.0,18.99802025144068,29.68225833149415,6.881401372649088,0.6499051036487694,-0.2888758608886162,-0.431890499982845,-0.07086125722269182
01053,38319,4078.0,10.642240141966127,24.186751346571267,9.639875785444977,-0.27735005139671143,-0.7376349688996845,-0.3839340703545574,-1.3989190906509532
01055,104430,42464.0,40.66264483386,26.530581824401924,5.956961091122132,0.11812372364966627,0.8746537528188145,-0.4479620122292347,0.5448154642392461
01057,17241,163.0,0.9454207992575837,32.29764111204718,6.025344524926535,1.091197812827086,-1.2584165047665976,-0.4467731575073025,-0.6139918494468141
01059,31704,4491.0,14.165404996214988,27.65754940108339,14.631171957283552,0.30827660634346676,-0.5484183671396738,-0.2971597495530437,-0.5373015103492508
01061,26790,2243.0,8.372527062336694,27.641657922350472,8.90476901265843,0.3055952421641797,-0.859533152397911,-0.39671399539387814,-0.9506519056276093
01063,9045,2971.0,32.84687672747374,33.18021616541353,7.337202909234821,1.2401144223762548,0.4548967609053671,-0.4239663321122487,1.2710448511693733
01065,15760,2389.0,15.158629441624367,36.14328979746356,7.6955327502857,1.7400728989345877,-0.49507582935899386,-0.4177367221052251,0.8272603474703688
01067,17302,3963.0,22.90486648942319,29.03146051311452,37.74573769271562,0.5400961936354683,-0.07905310228042205,0.10468992501259694,0.5657330163676433
01069,101547,14398.0,14.178656188759883,23.636347180740337,9.684269361171234,-0.37021957217531143,-0.5477066929131361,-0.3831622823762501,-1.3010885474646976
01071,53227,5640.0,10.596126026264866,30.05663993544157,13.75822334000713,0.7130743932460443,-0.7401115933629531,-0.3123360726464657,-0.3393732727633745
01073,658466,226576.0,34.40967339239991,26.111563992081052,8.176791354684042,0.04742297735974709,0.5388289884372668,-0.4093699798625648,0.1768819859344491
