"GEO_ID","NAME","B08303_001E","B08303_001M","B08303_002E","B08303_002M","B08303_003E","B08303_003M","B08303_004E","B08303_004M","B08303_005E","B08303_005M","B08303_006E","B08303_006M","B08303_007E","B08303_007M","B08303_008E","B08303_008M","B08303_009E","B08303_009M","B08303_010E","B08303_010M","B08303_011E","B08303_011M","B08303_012E","B08303_012M","B08303_013E","B08303_013M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Less than 5 minutes","Margin of Error!!Total:!!Less than 5 minutes","Estimate!!Total:!!5 to 9 minutes","Margin of Error!!Total:!!5 to 9 minutes","Estimate!!Total:!!10 to 14 minutes","Margin of Error!!Total:!!10 to 14 minutes","Estimate!!Total:!!15 to 19 minutes","Margin of Error!!Total:!!15 to 19 minutes","Estimate!!Total:!!20 to 24 minutes","Margin of Error!!Total:!!20 to 24 minutes","Estimate!!Total:!!25 to 29 minutes","Margin of Error!!Total:!!25 to 29 minutes","Estimate!!Total:!!30 to 34 minutes","Margin of Error!!Total:!!30 to 34 minutes","Estimate!!Total:!!35 to 39 minutes","Margin of Error!!Total:!!35 to 39 minutes","Estimate!!Total:!!40 to 44 minutes","Margin of Error!!Total:!!40 to 44 minutes","Estimate!!Total:!!45 to 59 minutes","Margin of Error!!Total:!!45 to 59 minutes","Estimate!!Total:!!60 to 89 minutes","Margin of Error!!Total:!!60 to 89 minutes","Estimate!!Total:!!90 or more minutes","Margin of Error!!Total:!!90 or more minutes",
"0500000US06063","Plumas County, California","6381","602","993","301","1422","327","1212","284","607","204","314","149","131","44","383","191","166","89","125","88","328","205","637","237","63","40",
"0500000US06065","Riverside County, California","947772","6133","16333","1133","62359","2014","106659","3105","129522","3026","117700","3043","52529","2335","135111","3056","25804","1469","40384","1796","87811","2493","106077","2669","67483","2742",
"0500000US06067","Sacramento County, California","603272","5252","11819","1070","39502","1680","70793","2179","95698","2666","102626","2916","47097","1796","103495","2692","19642","1164","23555","1374","41653","1470","25087","1245","22305","1493",
"0500000US06069","San Benito County, California","27808","1077","857","187","3367","543","3263","530","2532","462","2046","364","1195","308","2703","447","404","132","1493","386","3108","506","4622","554","2218","370",
"0500000US06071","San Bernardino County, California","857071","6088","16930","1204","64841","2186","103410","2879","120337","3015","116824","3292","48073","2054","114275","3521","22451","1420","32150","1490","72691","2366","87373","2313","57716","2390",
"0500000US06073","San Diego County, California","1352810","7308","22952","1297","91737","2417","164517","3136","232245","4551","235814","3912","103804","2781","215011","4227","46142","1869","55053","1865","96047","2853","61386","2336","28102","1474",
"0500000US06075","San Francisco County, California","344332","3700","4805","548","13447","898","27510","1271","45351","1617","51009","1966","25030","1358","66392","2190","13387","839","19253","1209","36639","1389","30699","1210","10810","925",
"0500000US06077","San Joaquin County, California","300879","3702","7778","921","25040","1451","39389","1660","47355","1958","38323","1624","14541","1001","32331","1931","5832","727","6545","855","20389","1225","31900","1653","31456","1623",
"0500000US06079","San Luis Obispo County, California","110449","1985","5559","684","19466","1303","16517","1108","17904","1326","16107","1039","8634","907","11247","1005","2792","360","2752","494","4751","503","1969","368","2751","545",
"0500000US06081","San Mateo County, California","301864","3165","4445","587","20672","1359","36724","1738","47635","1559","46614","1697","19503","1151","46513","1727","10919","929","15708","1121","27361","1408","20220","1208","5550","682",
"0500000US06083","Santa Barbara County, California","177398","2536","6601","809","25836","1280","40082","1625","31982","1661","20390","1128","12123","1253","14758","1061","2840","448","4316","650","9237","945","6421","772","2812","409",
"0500000US06085","Santa Clara County, California","759122","5071","10542","967","44051","2086","88175","2402","129517","3377","132624","3012","55676","1744","122873","2751","22048","1217","32394","1575","61133","1820","41397","1583","18692","1009",
"0500000US06087","Santa Cruz County, California","105731","1877","3709","679","11125","833","16657","1238","17024","1259","14590","976","4230","551","10837","996","2519","381","3917","575","10058","822","7942","784","3123","536",
"0500000US06089","Shasta County, California","68029","1514","2864","542","10489","897","15748","1059","14696","897","9928","782","2980","481","5098","800","699","159","772","237","1810","336","1375","255","1570","330",
"0500000US06091","Sierra County, California","921","167","192","96","138","94","74","78","55","51","18","30","78","97","61","58","60","52","0","14","62","43","129","84","54","48",
"0500000US06093","Siskiyou County, California","14382","644","1506","294","3122","436","2049","267","2274","335","1291","198","663","151","1316","280","352","130","285","96","483","155","727","176","314","112",
"0500000US06095","Solano County, California","184393","2407","4821","625","17529","1075","25360","1275","23220","1129","20615","1278","8419","673","23106","1457","4885","580","7020","740","17780","941","20214","972","11424","1030",
"0500000US06097","Sonoma County, California","205272","2324","6404","704","22356","1235","35430","1501","34602","1446","27213","1519","12374","912","25160","1290","4478","483","5792","602","12998","918","11519","919","6946","687",
"0500000US06099","Stanislaus County, California","216809","2607","8362","761","22234","1344","29941","1472","30984","2009","29606","1599","12798","998","25844","1340","4849","698","7081","766","14304","1300","12184","1021","18622","1322",
"0500000US06101","Sutter County, California","38541","1010","1131","238","5378","759","7084","741","5810","642","3549","466","1265","286","3347","449","828","301","1216","261","4068","553","3573","496","1292","286",
"0500000US06103","Tehama County, California","22158","867","1291","403","3533","512","3791","632","3092","517","2360","394","756","250","3169","516","705","320","925","245","1207","249","601","195","728","237",
"0500000US06105","Trinity County, California","3673","529","109","120","440","200","620","230","731","307","285","133","33","26","506","192","15","46","298","228","360","154","127","91","149","120",
"0500000US06107","Tulare County, California","176005","2530","7409","861","24731","1502","31332","1733","28532","1659","20546","1368","10168","937","18913","1502","3675","471","5212","637","13461","1251","8403","1064","3623","567",
"0500000US06109","Tuolumne County, California","17820","788","974","348","2285","430","3118","459","2962","446","2006","398","713","187","1321","306","240","112","419","170","815","204","1325","321","1642","358",
